"Key","Issue Type","Summary","Created","Status","Não Iniciado","Em Desenvolvimento","Revisão QA","Aprovado QA","Em produção","Done","Backlog","IMPEDIMENTO DEV","Não Aprovado","Revert","Produção","Reprovado QA"
"BUG-42","Bug Cliente","Beta - Valor das composições da sco estão diferentes quando baixa o relatório ","2024-12-30 16:04","Done","21h 10m","3h 40m","4h 38m","9m","16h 1m","4M 1w 4d 2h 24m","19h 51m","1d 1h 26m","-","-","-","-"
"BUG-43","Bug QA","Beta - Divergencia orçamento e relatorio sintetico com mão de obra e material","2024-12-31 10:29","Done","6h 40m","8h 27m","11m","5h 34m","12h 18m","4M 1w 5d 15h 4m","16h 25m","-","-","-","-","-"
"BUG-44","Bug QA","14370 - Bases - Valores invertido na base SINAPI PB 11/2024","2025-01-02 09:20","Done","0m","33m","12h 4m","6h 5m","1m","4M 1w 6d 7h 59m","20m","-","-","-","-","-"
"BUG-49","Bug Cliente","Relatório - Erro no relatório sintético com valor de mão de obra equipamento e material - Apollo","2025-01-06 09:17","Done","0m","1m","31m","8h 51m","3m","4M 1w 5d 22h 16m","2h 23m","-","-","-","-","-"
"BUG-50","Bug Cliente","Orçamento- divergência de valores unitários no relatório  #14493","2025-01-06 09:46","Done","54m","1m","7h 52m","1m","2d 10h 13m","4M 1w 2d 16h 1m","22h 34m","-","-","-","-","-"
"BUG-51","Bug Cliente","Erro 500 ao tentar acessar duas composições da Sicro 3 na cara do orçamento","2025-01-06 10:14","Done","11h 3m","2h 29m","2h 12m","2h 56m","1d 8h 59m","4M 1w 4d 2h 24m","2h 43m","-","-","-","-","-"
"BUG-52","Bug Cliente","14512 - Apollo - Composição de Transporte SETOP 10/2024 MG Central zerada","2025-01-06 11:02","Done","0m","0m","1h 8m","18m","7h 39m","4M 1w 5d 22h 29m","45m","-","-","-","-","-"
"BUG-53","Bug Cliente","14540 - Bases -  Erro ao procurar composição própria SJL-NPNC-215","2025-01-06 15:06","Done","1h 34m","1h 47m","11h 1m","19h 49m","16h 1m","4M 1w 4d 2h 24m","1h 43m","-","-","-","-","-"
"BUG-54","Bug Cliente","14543 - Bases -  Erro ao procurar composição própria ORC-GLP-067","2025-01-06 15:18","Done","1h 35m","1d 19h 27m","21h 15m","19h 8m","16h 13m","4M 1w 0d 18h 56m","1h 31m","-","-","3h 54m","-","4h 12m"
"BUG-57","Bug Cliente","14550 - Apollo - Erro ao gerar relatório de composição de BDI em relatórios V2","2025-01-06 15:54","Done","2d 2h 9m","2d 21h 37m","0m","6h 39m","0m","4M 0w 5d 12h 47m","55m","2d 9h 22m","-","-","-","-"
"BUG-59","Bug Cliente","14559 - Erro 500 ao tentar acessar composição da Sicro 3 na cara do orçamento","2025-01-06 16:29","Done","9h 11m","2h 56m","2h 7m","19h 57m","54m","4M 1w 4d 17h 29m","19m","-","-","-","-","-"
"BUG-60","Bug Cliente","CLONE - Erro 500 ao tentar acessar duas composições da Sicro 3 na cara do orçamento","2025-01-06 17:32","Done","3h 57m","0m","9h 7m","7h 53m","7h 54m","4M 1w 4d 10h 29m","12h 31m","-","-","-","-","-"
"BUG-61","Bug Cliente","14587 - Apollo - Composição SETOP ED-17989 10/2024 zerada","2025-01-07 10:18","Done","1h 39m","0m","1h 52m","1m","2m","4M 1w 5d 22h 28m","3m","-","-","-","-","-"
"BUG-62","Bug Cliente","Lista de composição na Busca","2025-01-07 10:52","Done","14h 10m","7h 49m","3h 47m","-","5d 8h 0m","4M 0w 6d 11h 23m","8m","-","-","-","-","1h 54m"
"BUG-63","Bug Cliente","Alteração de valor de insumos proprios","2025-01-07 11:00","Done","21h 59m","24m","6h 6m","-","5d 8h 0m","4M 0w 6d 11h 23m","0m","-","-","-","-","-"
"BUG-64","Bug QA","Erro na escrita da palavra "" Valor""","2025-01-07 14:36","Done","5h 41m","10m","11m","1h 36m","10h 54m","4M 1w 5d 0h 27m","0m","-","-","-","-","-"
"BUG-65","Bug QA","erro no caminho do gerador de proposta ","2025-01-07 14:40","Done","8h 15m","1h 34m","1h 5m","2m","10h 55m","4M 1w 5d 0h 26m","3m","-","-","0m","-","-"
"BUG-66","Bug QA","VALORES DE ONERADO E DESONERADO","2025-01-07 15:10","Done","11h 8m","7h 41m","0m","8h 58m","5d 23h 2m","4M 0w 5d 19h 23m","0m","-","-","-","-","-"
"BUG-69","Bug Cliente","14644 - Bases - Erro nos valores das composições AGETOP CIVIL 08/2024","2025-01-08 10:47","Done","6h 25m","0m","1h 15m","1m","9m","4M 1w 5d 9h 41m","1m","2m","-","-","-","-"
"BUG-70","Bug Cliente","14646 - Bases - Composições faltando na base ORSE 10/2024","2025-01-08 11:04","Done","7h 1m","1m","7h 53m","7h 57m","3h 51m","4M 1w 4d 14h 33m","3m","-","-","-","-","-"
"BUG-71","Bug Cliente","Erro na ferramenta da recuperar itens excluídos  - #14663","2025-01-08 14:10","Done","11h 23m","16h 1m","13h 32m","1h 0m","0m","4M 0w 5d 11h 23m","26m","2d 16h 0m","-","-","-","2d 17h 27m"
"BUG-72","Bug Cliente","Apollo- erro ao adicionar composição própria no orçamento #14674","2025-01-08 15:04","Done","0m","50m","10h 24m","7h 47m","2d 23h 8m","4M 1w 1d 19h 17m","52m","-","-","-","-","-"
"BUG-74","Bug Cliente","Bases- cliente reporta multiplicação incorreta do sistema ","2025-01-08 17:30","Done","6h 6m","1h 33m","5h 35m","26m","3d 0h 11m","4M 1w 1d 19h 12m","51m","-","-","-","-","-"
"BUG-76","Bug Cliente","Erro ao baixar o relatório sintético com valor de mão de obra equipamento e material- #14851 ","2025-01-13 10:49","Done","3h 5m","10h 1m","10h 25m","2h 7m","1d 9h 3m","4M 1w 1d 18h 20m","7h 46m","-","-","40m","-","-"
"BUG-77","Bug QA","CAIXA DE AVISO EM CIMA DA OPÇÃO DE ESCOLHA","2025-01-13 15:08","Done","2h 57m","2m","2h 43m","4h 12m","5d 8h 40m","4M 0w 5d 19h 23m","0m","-","-","-","-","-"
"BUG-78","Bug Cliente","14894 - Apollo - Erro ao criar orçamento no modelo novo","2025-01-14 08:33","Done","3m","38m","3h 3m","26m","0m","4M 1w 4d 7h 13m","0m","-","-","-","-","-"
"BUG-79","Bug Cliente","Orçamento- erro ao substituir ou adicionais composições próprias #6660 - Tayná","2025-01-14 09:58","Done","1h 17m","10h 24m","6h 27m","27m","1d 8h 0m","4M 1w 1d 19h 23m","11h 21m","-","-","-","-","28m"
"BUG-80","Bug Cliente","Orçamento - erro ao excluir tags  #6674 - Luciana","2025-01-14 10:56","Done","2d 4h 46m","1h 49m","-","-","2d 2h 2m","4M 0w 6d 14h 26m","10h 24m","-","-","-","-","-"
"BUG-81","Bug Cliente","Apollo - Erro 500 ao acessar lista de composições","2025-01-14 11:18","Done","2h 19m","3h 31m","3h 20m","7h 10m","1d 16h 0m","4M 1w 1d 19h 23m","2m","-","-","40m","-","-"
"BUG-82","Bug QA","Erro na integração com a mais controle 1","2025-01-14 11:32","Done","5h 27m","14h 23m","-","-","1d 17h 7m","4M 1w 1d 18h 16m","1m","-","-","-","-","-"
"BUG-86","Bug QA","Bases - Erro na importação de composição com código igual","2025-01-15 17:25","Done","1d 19h 16m","12h 50m","32m","3h 6m","16h 6m","4M 1w 0d 11h 18m","1m","-","-","-","-","-"
"BUG-87","Bug Cliente","Erro no relatório de curva ABC de insumos - #15057","2025-01-15 17:35","Done","8h 24m","1h 13m","4h 45m","-","1d 11h 5m","4M 1w 1d 18h 21m","0m","-","-","-","-","-"
"BUG-89","Bug Cliente","orçamento- erro ao gerar composição própria e erro 500 ao acessar a lista de composições  #15094","2025-01-16 10:38","Done","4h 35m","1h 52m","7h 41m","2h 41m","1d 13h 33m","4M 0w 6d 13h 50m","23h 58m","-","-","-","-","1h 48m"
"BUG-91","Bug Cliente","Erro 500 ao baixar o relatório sintético com valor de mão de obra e material - PRIME ","2025-01-16 11:40","Done","1d 13h 19m","2h 11m","18h 36m","3h 14m","3d 9h 15m","4M 0w 4d 18h 8m","0m","-","-","-","-","-"
"BUG-93","Bug Cliente","CLONE - orçamento- erro ao gerar composição própria e erro 500 ao acessar a lista de composições  #15138","2025-01-16 16:25","Done","12h 6m","0m","15h 53m","1h 36m","10h 8m","4M 1w 1d 19h 23m","1h 50m","-","-","-","-","-"
"BUG-95","Bug Cliente","15232  - Apollo - Lista de Composições não abre, fica apenas carregando","2025-01-20 10:17","Done","8h 3m","2h 5m","0m","0m","19h 1m","4M 1w 0d 18h 59m","4m","-","-","-","-","-"
